iter	Passed	Remaining
399	64301	96452
400	64454	96280
401	64610	96111
402	64766	95944
403	64924	95779
404	65082	95615
405	65247	95460
406	65403	95293
407	65559	95125
408	65714	94957
409	65886	94812
410	66044	94648
411	66209	94493
412	66364	94323
413	66521	94158
414	66678	93991
415	66833	93824
416	66989	93657
417	67153	93501
418	67308	93332
419	67465	93167
420	67622	93000
421	67777	92832
422	67933	92665
423	68093	92503
424	68253	92343
425	68407	92172
426	68568	92013
427	68724	91846
428	68879	91678
429	69035	91512
430	69199	91356
431	69359	91194
432	69516	91029
433	69674	90865
434	69830	90700
435	70001	90552
436	70184	90420
437	70345	90260
438	70507	90101
439	70669	89943
440	70827	89779
441	70990	89621
442	71154	89465
443	71310	89298
444	71467	89133
445	71624	88968
446	71783	88806
447	71944	88645
448	72108	88489
449	72267	88326
450	72424	88162
451	72579	87994
452	72732	87824
453	72890	87660
454	73053	87503
455	73216	87346
456	73370	87177
457	73527	87012
458	73682	86845
459	73836	86677
460	73995	86515
461	74165	86365
462	74319	86198
463	74475	86031
464	74631	85865
465	74787	85700
466	74942	85534
467	75120	85393
468	75290	85243
469	75448	85080
470	75606	84916
471	75762	84751
472	75917	84584
473	76087	84434
474	76244	84270
475	76400	84105
476	76556	83939
477	76714	83776
478	76871	83611
479	77027	83446
480	77192	83290
481	77354	83131
482	77508	82964
483	77663	82798
484	77818	82632
485	77974	82466
486	78148	82320
487	78321	82173
488	78491	82023
489	78652	81863
490	78812	81702
491	78971	81539
492	79137	81385
493	79303	81229
494	79461	81066
495	79617	80901
496	79774	80737
497	79931	80573
498	80096	80417
499	80254	80254
500	80411	80090
501	80569	79927
502	80728	79765
503	80885	79601
504	81044	79439
505	81216	79290
506	81376	79129
507	81534	78966
508	81693	78804
509	81852	78642
510	82007	78476
511	82169	78317
512	82325	78152
513	82479	77986
514	82635	77821
515	82791	77657
516	82950	77494
517	83113	77337
518	83273	77176
519	83429	77011
520	83583	76845
521	83737	76679
522	83895	76516
523	84060	76360
524	84225	76204
525	84389	76046
526	84544	75881
527	84699	75716
528	84854	75550
529	85011	75387
530	85175	75230
531	85335	75069
532	85491	74905
533	85647	74741
534	85802	74575
535	85960	74413
536	86123	74255
537	86283	74094
538	86438	73930
539	86595	73766
540	86751	73602
541	86906	73437
542	87081	73289
543	87241	73129
544	87397	72964
545	87555	72802
546	87711	72638
547	87872	72479
548	88039	72323
549	88201	72164
550	88366	72008
551	88529	71850
552	88688	71688
553	88846	71526
554	89002	71362
555	89170	71207
556	89328	71045
557	89484	70882
558	89643	70720
559	89797	70554
560	89951	70389
561	90115	70232
562	90277	70073
563	90434	69910
564	90590	69746
565	90744	69581
566	90898	69416
567	91056	69254
568	91220	69096
569	91382	68937
570	91541	68776
571	91698	68613
572	91854	68449
573	92012	68288
574	92176	68130
575	92344	67975
576	92516	67823
577	92672	67660
578	92832	67499
579	92993	67340
580	93160	67184
581	93324	67027
582	93488	66869
583	93649	66709
584	93804	66545
585	93963	66383
586	94127	66225
587	94282	66061
588	94437	65897
589	94597	65737
590	94758	65577
591	94912	65412
592	95076	65254
593	95239	65096
594	95404	64938
595	95573	64784
596	95727	64620
597	95884	64457
598	96043	64296
599	96206	64137
600	96362	63974
601	96518	63811
602	96674	63648
603	96832	63486
604	96990	63324
605	97154	63166
606	97312	63004
607	97471	62843
608	97632	62683
609	97807	62532
610	97965	62371
611	98133	62215
612	98289	62052
613	98454	61894
614	98622	61739
615	98779	61576
616	98935	61413
617	99104	61258
618	99263	61097
619	99424	60937
620	99583	60776
621	99742	60615
622	99896	60450
623	100062	60294
624	100218	60131
625	100371	59966
626	100539	59810
627	100703	59652
628	100859	59489
629	101015	59326
630	101179	59168
631	101338	59007
632	101499	58847
633	101655	58684
634	101813	58522
635	101977	58364
636	102141	58206
637	102295	58042
638	102451	57879
639	102611	57719
640	102765	57555
641	102922	57393
642	103086	57234
643	103248	57075
644	103403	56911
645	103562	56750
646	103719	56588
647	103873	56425
648	104042	56269
649	104209	56112
650	104368	55951
651	104526	55790
652	104685	55629
653	104840	55466
654	104995	55302
655	105160	55145
656	105320	54984
657	105477	54822
658	105641	54664
659	105800	54503
660	105959	54342
661	106122	54183
662	106281	54022
663	106438	53860
664	106596	53699
665	106757	53538
666	106910	53375
667	107073	53216
668	107230	53054
669	107386	52891
670	107540	52728
671	107701	52568
672	107859	52407
673	108024	52249
674	108182	52087
675	108336	51924
676	108491	51761
677	108653	51602
678	108810	51440
679	108975	51282
680	109143	51125
681	109307	50967
682	109463	50805
683	109627	50646
684	109785	50485
685	109945	50324
686	110114	50168
687	110272	50007
688	110429	49845
689	110588	49684
690	110751	49525
691	110907	49363
692	111072	49205
693	111228	49043
694	111382	48879
695	111539	48718
696	111697	48557
697	111851	48394
698	112011	48233
699	112178	48076
700	112334	47914
701	112491	47752
702	112652	47592
703	112807	47430
704	112968	47270
705	113135	47112
706	113291	46951
707	113445	46788
708	113602	46626
709	113767	46468
710	113923	46306
711	114088	46148
712	114244	45986
713	114401	45824
714	114556	45662
715	114710	45499
716	114864	45336
717	115022	45176
718	115184	45016
719	115342	44855
720	115497	44693
721	115654	44531
722	115824	44375
723	115982	44214
724	116150	44056
725	116306	43895
726	116460	43732
727	116619	43572
728	116779	43411
729	116934	43249
730	117097	43090
731	117258	42930
732	117416	42769
733	117574	42608
734	117728	42446
735	117883	42284
736	118048	42125
737	118212	41966
738	118367	41805
739	118526	41644
740	118680	41482
741	118842	41322
742	119007	41163
743	119170	41004
744	119327	40843
745	119483	40682
746	119642	40521
747	119807	40362
748	119972	40204
749	120139	40046
750	120294	39884
751	120449	39722
752	120606	39561
753	120762	39399
754	120915	39237
755	121081	39079
756	121237	38917
757	121394	38756
758	121551	38595
