iter	Logloss
0	0.6243806538
1	0.5716073884
2	0.5077290021
3	0.4567203098
4	0.4127892394
5	0.3756697571
6	0.3561546308
7	0.3349945666
8	0.3188000538
9	0.294158118
10	0.2832937625
11	0.2682689122
12	0.2550909496
13	0.2482309807
14	0.2370602034
15	0.2273007465
16	0.2200857047
17	0.2118143989
18	0.2037917479
19	0.1968698947
20	0.1917054312
21	0.1864349986
22	0.1835633657
23	0.1813532286
24	0.1772875972
25	0.1737941863
26	0.1712851333
27	0.1688817546
28	0.1672802725
29	0.1648025198
30	0.1624677904
31	0.1603465396
32	0.1590394373
33	0.1567982296
34	0.1553949678
35	0.1539519687
36	0.1529717371
37	0.1517561304
38	0.1508176631
39	0.1501059335
40	0.1486748537
41	0.1474704954
42	0.1459817544
43	0.1451956746
44	0.1444121739
45	0.1429613422
46	0.1420777751
47	0.1417036545
48	0.1411279481
49	0.1406259594
50	0.1402746669
51	0.1395600903
52	0.1392725872
53	0.1387147363
54	0.1384030274
55	0.1380680666
56	0.1376989293
57	0.1370758768
58	0.1360674869
59	0.1355938098
60	0.1350916538
61	0.1346190659
62	0.1341066706
63	0.1331460327
64	0.1327133237
65	0.1322919303
66	0.1319382851
67	0.1314413752
68	0.1313121649
69	0.1311146178
70	0.1307501341
71	0.1303468651
72	0.1301214864
73	0.1297163197
74	0.129470922
75	0.1291648125
76	0.1286317863
77	0.1284692541
78	0.1281809457
79	0.1277589051
80	0.1276108514
81	0.1271540001
82	0.1270111585
83	0.1266212077
84	0.1263919945
85	0.1260925528
86	0.1258997873
87	0.1257008412
88	0.1252719705
89	0.1250125904
90	0.1248339329
91	0.1244378165
92	0.1241349436
93	0.1238928828
94	0.123631777
95	0.1231302502
96	0.1230467922
97	0.1227953716
98	0.1226416216
99	0.1221868497
100	0.1220014982
101	0.1215731357
102	0.1213724489
103	0.1211366214
104	0.12059763
105	0.1199832313
106	0.1197963897
107	0.1193707639
108	0.1190376493
109	0.1188073856
110	0.1184700104
111	0.118189011
112	0.1178914201
113	0.1177523999
114	0.1176526631
115	0.1174315185
116	0.1171476451
117	0.1167710815
118	0.1163185406
119	0.1159341614
120	0.1153491672
121	0.1150634821
122	0.1147363317
123	0.1144657617
124	0.1141979592
125	0.1140687976
126	0.1136518521
127	0.1134202859
128	0.113201947
129	0.1129398528
130	0.1128368802
131	0.1126901645
132	0.1123595781
133	0.11182079
134	0.1116388769
135	0.1114230457
136	0.1111452758
137	0.110922319
138	0.110603534
139	0.1104247727
140	0.109948882
141	0.1097667293
142	0.1093963974
143	0.1088542546
144	0.1087415052
145	0.108627606
146	0.1084714899
147	0.1081931818
148	0.1079659097
149	0.107774994
150	0.1076299392
151	0.107281487
152	0.1068270861
153	0.1065209643
154	0.1063464955
155	0.1062310846
156	0.1056028162
157	0.1052113412
158	0.1046520882
159	0.1043760275
160	0.1036965457
161	0.1032798987
162	0.1030776177
163	0.1026925095
164	0.1024851575
165	0.1023225815
166	0.1020211325
167	0.1018826977
168	0.1016718437
169	0.101431976
170	0.101173172
171	0.1010019054
172	0.1006794249
173	0.1003936547
174	0.09971983066
175	0.09917133468
176	0.09854407376
177	0.09825013798
178	0.09807036712
179	0.09785849017
180	0.09760415623
181	0.09729404163
182	0.09672188601
183	0.09635154064
184	0.0960461471
185	0.09570715149
186	0.09527209966
187	0.09478907024
188	0.09459513361
189	0.09435820204
190	0.09414499165
191	0.09398022471
192	0.09383231756
193	0.0936646711
194	0.09315646225
195	0.09296687016
196	0.09272208235
197	0.09254012973
198	0.09225478779
199	0.09198359946
200	0.09166036238
201	0.09141128425
202	0.09089954172
203	0.09061135196
204	0.09031052325
205	0.09005761505
206	0.08986511965
207	0.08960556337
208	0.0893508649
209	0.08907956011
210	0.08884456503
211	0.08834300392
212	0.08801587851
213	0.08777327013
214	0.08740105544
215	0.08719962682
216	0.08703690023
217	0.08675188217
218	0.08660152112
219	0.08640112671
220	0.08624416422
221	0.08571679404
222	0.08555320936
223	0.08534498248
224	0.08510602046
225	0.08482595869
226	0.08460764512
227	0.08445791624
228	0.0840668143
229	0.08389534422
230	0.08344491381
231	0.08324800302
232	0.0829798365
233	0.0827297451
234	0.08241350033
235	0.0822465198
236	0.08204571979
237	0.081716607
238	0.08159984802
239	0.08146068567
240	0.08131016755
241	0.08112056395
242	0.0808904768
243	0.080768133
244	0.08060372396
245	0.08027752817
246	0.08008325609
247	0.07990356226
248	0.07974975786
249	0.07959250678
250	0.07935515745
251	0.07922330426
252	0.07910157254
253	0.0787585562
254	0.07863296005
255	0.07852974311
256	0.07835386492
257	0.07805393993
258	0.07790278675
259	0.07773146782
260	0.07755287695
261	0.07734501821
262	0.07719416193
263	0.07701934072
264	0.07685916612
265	0.07670889505
266	0.0763629645
267	0.07618596035
268	0.07607747606
269	0.07599839284
270	0.07577078763
271	0.07555623103
272	0.07519076073
273	0.07506332078
274	0.07489618329
275	0.07478434108
276	0.07457001646
277	0.07443175946
278	0.07428839262
279	0.07416859035
280	0.07396792615
281	0.07366601318
282	0.07348453167
283	0.0733014012
284	0.0729992879
285	0.0728838629
286	0.07275818891
287	0.07262110275
288	0.07242421996
289	0.07229264333
290	0.07204612833
291	0.07186176206
292	0.07175751034
293	0.07155466469
294	0.07140512514
295	0.07130798513
296	0.07096226121
297	0.07069354702
298	0.07053620538
299	0.07039900248
300	0.07027389967
301	0.07006918646
302	0.06996746329
303	0.06971295337
304	0.06955947403
305	0.06931932735
306	0.06915011874
307	0.06903235978
308	0.06889072511
309	0.06878444074
310	0.0686929684
311	0.06858504048
312	0.06831593164
313	0.0681865399
314	0.06799198477
315	0.06773369422
316	0.0675471509
317	0.06743684549
318	0.06723514111
319	0.0670103725
320	0.06689987254
321	0.06677178713
322	0.06644378284
323	0.06629639814
324	0.06621113108
325	0.06599473763
326	0.06587583947
327	0.06572116682
328	0.06558936825
329	0.06540183906
330	0.06522300654
331	0.06507905899
332	0.06499736364
333	0.06473331014
334	0.0644309214
335	0.06433675006
336	0.06425626073
337	0.06406089808
338	0.06393567029
339	0.06381818873
340	0.06371458988
341	0.06357800535
342	0.06328510562
343	0.06318521612
344	0.062912686
345	0.06274607721
346	0.06266113186
347	0.06245513697
348	0.06237558521
349	0.06224907646
350	0.06203083168
351	0.06195079214
352	0.0618527461
353	0.06171972286
354	0.06160625811
355	0.06152498536
356	0.06135557289
357	0.0611941181
358	0.06102396217
359	0.06094468484
360	0.06069389681
361	0.06050847121
362	0.06031677327
363	0.06011566919
364	0.05986062141
365	0.05975331371
366	0.05965419486
367	0.05957250189
368	0.0594775559
369	0.05938080115
370	0.05926761282
371	0.05920367751
